path,title,description,type,codelist
id,Identifier,A locally-unique identifier for this wayleave.,string,
yearSigned,Year signed,The year in which this wayleave was signed.,integer,
term/indefinite,Indefinite,"Whether the term of wayleave is indefinite, i.e. without an end date.",boolean,
term/years,Years,"If the wayleave's term is definite, its duration in years.",integer,
cost/recurring,Recurring,Whether this is a recurring cost.,boolean,
cost/perMetre/amount,Cost per metre amount,"The average cost per metre for this wayleave. Wayleave costs can include a mix of per length and per item fees, e.g. a fee per metre of cable and a fee per pole. The average cost per metre should be calculated by dividing the total cost of all fees by the total length in metres of cable covered by the wayleave. For recurring fees, the average cost per metre should be annualised. | The amount of this value.",number,
cost/perMetre/currency,Cost per metre currency,"The average cost per metre for this wayleave. Wayleave costs can include a mix of per length and per item fees, e.g. a fee per metre of cable and a fee per pole. The average cost per metre should be calculated by dividing the total cost of all fees by the total length in metres of cable covered by the wayleave. For recurring fees, the average cost per metre should be annualised. | The currency of this value, from the closed [currency codelist](https://standard.ofds.info/en/{{version}}/reference/codelists#currency).",string,currency.csv
