code,title,description
sdh,Synchronous Digital Hierarchy,"A standardised protocol for transferring multiple digital bit streams synchronously over optical fibre. SDH is used worldwide,with the exception of the US and Canada."
dwdm,Dense Wavelength Division Multiplexing,A technology that multiplexes a number of optical carrier signals onto a single optical fibre by using different wavelengths.
tdm,Time Division Multiplexing,A technology that multiplexes a number of optical carrier signals onto a single optical fibre by using different arrival times.
sonet,Synchronous Optical Networking,A standardised protocol for transferring multiple digital bit streams synchronously over optical fibre. SONET is used in the US and Canada.
