code,title,description
ppp,Public Private Partnership (PPP),"A long-term contract between a private party and a government entity, for providing a public asset or service, in which the private party bears significant risk and management responsibility and remuneration is linked to performance. "
private,Private,A for-profit business that is not owned or operated by the government.
public,Public,
co-operative,Co-operative,"An autonomous association of persons united voluntarily to meet their common economic, social and cultural needs and aspirations through a jointly owned and democratically-controlled enterprise."
