code,title,description
"tag:opentelecomdata.net,2022:nodesAPI",Nodes API,An API endpoint that returns a paginated list of `Node` objects.
"tag:opentelecomdata.net,2022:nodesFile",Nodes file,A JSON Lines file containing one `Node` object per line. The file may be compressed using ZIP or GZIP.
"tag:opentelecomdata.net,2022:linksAPI",Links API,An API endpoint that returns a paginated list of `Link` objects.
"tag:opentelecomdata.net,2022:linksFile",Links file,A JSON Lines file containing one `Link` object per line. The file may be compressed using ZIP or GZIP.
