path,title,description,type
id,Identifier,A locally-unique identifier for this contract.,string
title,Title,A title for this contract.,string
description,Description,A description for this contract.,string
type,Type,"The type of this contract, from the open [contractType codelist](https://standard.ofds.info/en/{{version}}/reference/codelists#contracttype).",string
value/amount,Amount,The amount of this value.,number
value/currency,Currency,"The currency of this value, from the closed [currency codelist](https://standard.ofds.info/en/{{version}}/reference/codelists#currency).",string
dateSigned,Date signed,The date this contract was signed.,string
