Code,Title,Description
ppp,Public Private Partnership (PPP),"A long-term contract between a private party and a government entity,for providing a public asset or service,in which the private party bears significant risk and management responsibility and remuneration is linked to performance."
private,Private,A contract in which the private sector takes ownership of the network and responsibility for its operation.
public,Public,A contract in which the public sector owns the network and is responsible for its operation.
